Date,WeekDay
2013-01-01,Tuesday
2013-01-02,Wednesday
2013-01-03,Thursday
2013-01-04,Friday
2013-01-05,Saturday
2013-01-06,Sunday
2013-01-07,Monday
2013-01-08,Tuesday
2013-01-09,Wednesday
2013-01-10,Thursday
2013-01-11,Friday
2013-01-12,Saturday
2013-01-13,Sunday
2013-01-14,Monday
2013-01-15,Tuesday
2013-01-16,Wednesday
2013-01-17,Thursday
2013-01-18,Friday
2013-01-19,Saturday
2013-01-20,Sunday
2013-01-21,Monday
2013-01-22,Tuesday
2013-01-23,Wednesday
2013-01-24,Thursday
2013-01-25,Friday
2013-01-26,Saturday
2013-01-27,Sunday
2013-01-28,Monday
2013-01-29,Tuesday
2013-01-30,Wednesday
2013-01-31,Thursday
2013-02-01,Friday
2013-02-02,Saturday
2013-02-03,Sunday
2013-02-04,Monday
2013-02-05,Tuesday
2013-02-06,Wednesday
2013-02-07,Thursday
2013-02-08,Friday
2013-02-09,Saturday
2013-02-10,Sunday
2013-02-11,Monday
2013-02-12,Tuesday
2013-02-13,Wednesday
2013-02-14,Thursday
2013-02-15,Friday
2013-02-16,Saturday
2013-02-17,Sunday
2013-02-18,Monday
2013-02-19,Tuesday
2013-02-20,Wednesday
2013-02-21,Thursday
2013-02-22,Friday
2013-02-23,Saturday
2013-02-24,Sunday
2013-02-25,Monday
2013-02-26,Tuesday
2013-02-27,Wednesday
2013-02-28,Thursday
2013-03-01,Friday
2013-03-02,Saturday
2013-03-03,Sunday
2013-03-04,Monday
2013-03-05,Tuesday
2013-03-06,Wednesday
2013-03-07,Thursday
2013-03-08,Friday
2013-03-09,Saturday
2013-03-10,Sunday
2013-03-11,Monday
2013-03-12,Tuesday
2013-03-13,Wednesday
2013-03-14,Thursday
2013-03-15,Friday
2013-03-16,Saturday
2013-03-17,Sunday
2013-03-18,Monday
2013-03-19,Tuesday
2013-03-20,Wednesday
2013-03-21,Thursday
2013-03-22,Friday
2013-03-23,Saturday
2013-03-24,Sunday
2013-03-25,Monday
2013-03-26,Tuesday
2013-03-27,Wednesday
2013-03-28,Thursday
2013-03-29,Friday
2013-03-30,Saturday
2013-03-31,Sunday
2013-04-01,Monday
2013-04-02,Tuesday
2013-04-03,Wednesday
2013-04-04,Thursday
2013-04-05,Friday
